medv,phab,spob
24,6.575,4.98
21.6,6.421,9.14
34.7,7.185,4.03
33.4,6.998,2.94
36.2,7.147,5.33
28.7,6.43,5.21
22.9,6.012,12.43
27.1,6.172,19.15
16.5,5.631,29.93
18.9,6.004,17.1
15,6.377,20.45
18.9,6.009,13.27
21.7,5.889,15.71
20.4,5.949,8.26
18.2,6.096,10.26
19.9,5.834,8.47
23.1,5.935,6.58
17.5,5.99,14.67
20.2,5.456,11.69
18.2,5.727,11.28
13.6,5.57,21.02
19.6,5.965,13.83
15.2,6.142,18.72
14.5,5.813,19.88
15.6,5.924,16.3
13.9,5.599,16.51
16.6,5.813,14.81
14.8,6.047,17.28
18.4,6.495,12.8
21,6.674,11.98
12.7,5.713,22.6
14.5,6.072,13.04
13.2,5.95,27.71
13.1,5.701,18.35
13.5,6.096,20.34
18.9,5.933,9.68
20,5.841,11.41
21,5.85,8.77
24.7,5.966,10.13
30.8,6.595,4.32
34.9,7.024,1.98
26.6,6.77,4.84
25.3,6.169,5.81
24.7,6.211,7.44
21.2,6.069,9.55
19.3,5.682,10.21
20,5.786,14.15
16.6,6.03,18.8
14.4,5.399,30.81
19.4,5.602,16.2
19.7,5.963,13.45
20.5,6.115,9.43
25,6.511,5.28
23.4,5.998,8.43
18.9,5.888,14.8
35.4,7.249,4.81
24.7,6.383,5.77
31.6,6.816,3.95
23.3,6.145,6.86
19.6,5.927,9.22
18.7,5.741,13.15
16,5.966,14.44
22.2,6.456,6.73
25,6.762,9.5
33,7.104,8.05
23.5,6.29,4.67
19.4,5.787,10.24
22,5.878,8.1
17.4,5.594,13.09
20.9,5.885,8.79
24.2,6.417,6.72
21.7,5.961,9.88
22.8,6.065,5.52
23.4,6.245,7.54
24.1,6.273,6.78
21.4,6.286,8.94
20,6.279,11.97
20.8,6.14,10.27
21.2,6.232,12.34
20.3,5.874,9.1
28,6.727,5.29
23.9,6.619,7.22
24.8,6.302,6.72
22.9,6.167,7.51
23.9,6.389,9.62
26.6,6.63,6.53
22.5,6.015,12.86
22.2,6.121,8.44
23.6,7.007,5.5
28.7,7.079,5.7
22.6,6.417,8.81
22,6.405,8.2
22.9,6.442,8.16
25,6.211,6.21
20.6,6.249,10.59
28.4,6.625,6.65
21.4,6.163,11.34
38.7,8.069,4.21
43.8,7.82,3.57
33.2,7.416,6.19
27.5,6.727,9.42
26.5,6.781,7.67
18.6,6.405,10.63
19.3,6.137,13.44
20.1,6.167,12.33
19.5,5.851,16.47
19.5,5.836,18.66
20.4,6.127,14.09
19.8,6.474,12.27
19.4,6.229,15.55
21.7,6.195,13
22.8,6.715,10.16
18.8,5.913,16.21
18.7,6.092,17.09
18.5,6.254,10.45
18.3,5.928,15.76
21.2,6.176,12.04
19.2,6.021,10.3
20.4,5.872,15.37
19.3,5.731,13.61
22,5.87,14.37
20.3,6.004,14.27
20.5,5.961,17.93
17.3,5.856,25.41
18.8,5.879,17.58
21.4,5.986,14.81
15.7,5.613,27.26
16.2,5.693,17.19
18,6.431,15.39
14.3,5.637,18.34
19.2,6.458,12.6
19.6,6.326,12.26
23,6.372,11.12
18.4,5.822,15.03
15.6,5.757,17.31
18.1,6.335,16.96
17.4,5.942,16.9
17.1,6.454,14.59
13.3,5.857,21.32
17.8,6.151,18.46
14,6.174,24.16
14.4,5.019,34.41
13.4,5.403,26.82
15.6,5.468,26.42
11.8,4.903,29.29
13.8,6.13,27.8
15.6,5.628,16.65
14.6,4.926,29.53
17.8,5.186,28.32
15.4,5.597,21.45
21.5,6.122,14.1
19.6,5.404,13.28
15.3,5.012,12.12
19.4,5.709,15.79
17,6.129,15.12
15.6,6.152,15.02
13.1,5.272,16.14
41.3,6.943,4.59
24.3,6.066,6.43
23.3,6.51,7.39
27,6.25,5.5
22.7,5.854,11.64
25,6.101,9.81
23.8,5.877,12.14
23.8,6.319,11.1
22.3,6.402,11.32
17.4,5.875,14.43
19.1,5.88,12.03
23.1,5.572,14.69
23.6,6.416,9.04
22.6,5.859,9.64
29.4,6.546,5.33
23.2,6.02,10.11
24.6,6.315,6.29
29.9,6.86,6.92
37.2,6.98,5.04
39.8,7.765,7.56
36.2,6.144,9.45
37.9,7.155,4.82
32.5,6.563,5.68
26.4,5.604,13.98
29.6,6.153,13.15
32,6.782,6.68
29.8,6.556,4.56
34.9,7.185,5.39
37,6.951,5.1
30.5,6.739,4.69
36.4,7.178,2.87
31.1,6.8,5.03
29.1,6.604,4.38
33.3,7.287,4.08
30.3,7.107,8.61
34.6,7.274,6.62
34.9,6.975,4.56
32.9,7.135,4.45
24.1,6.162,7.43
42.3,7.61,3.11
48.5,7.853,3.81
22.6,5.891,10.87
24.4,6.326,10.97